relative_path,size_bytes,sha256,category,purpose,media_type
full_archive/current_synthesis/unified_paper_figures/fig4_collapse_boundary.png,217448,fe9cab2758de1f712baf76aeeeb8ce3ba6d0c5af95badbf12a0b0417f9dd5841,current_synthesis,当前压缩统一论文、源稿、图与账本,image/png
full_archive/current_synthesis/unified_paper_figures/fig4_collapse_boundary.svg,7537,6c346de3ebc853437238d4f6eb9ddae9494cd0a07d7e3740fd967b265d65389c,current_synthesis,当前压缩统一论文、源稿、图与账本,image/svg+xml
full_archive/current_synthesis/unified_paper_figures/fig5_two_regime.dot,991,f1ea42fcb7019704f6b043d466221cc98796f46b1664c2b619ff734183ed2343,current_synthesis,当前压缩统一论文、源稿、图与账本,text/vnd.graphviz
full_archive/current_synthesis/unified_paper_figures/fig5_two_regime.png,134202,35b63769e84474bc0fb7b924a0960c178c642bbdd908757d40d209bf1cbdb865,current_synthesis,当前压缩统一论文、源稿、图与账本,image/png
full_archive/current_synthesis/unified_paper_figures/fig5_two_regime.svg,5278,b37736bcd9b34cb02268917723e342c96ec3bb59c2202a4dbcd310570934ffea,current_synthesis,当前压缩统一论文、源稿、图与账本,image/svg+xml
full_archive/current_synthesis/unified_paper_figures/fig6_protocol_stack.dot,1310,40dee68e80b0fbf0f5ab14aabafec3c162a911e729f744c5171b242a4a5cc955,current_synthesis,当前压缩统一论文、源稿、图与账本,text/vnd.graphviz
full_archive/current_synthesis/unified_paper_figures/fig6_protocol_stack.png,223285,25673f82d2833ab179acd2cbfd66b1554f8f8cdbb65d4669c6b7361c33403d01,current_synthesis,当前压缩统一论文、源稿、图与账本,image/png
full_archive/current_synthesis/unified_paper_figures/fig6_protocol_stack.svg,6520,b00796a90e6c77713ea4ecdca7373aec2e5e3dfc03305482eafc2e7331e5cd59,current_synthesis,当前压缩统一论文、源稿、图与账本,image/svg+xml
full_archive/current_synthesis/unified_paper_figures/fig7_evidence_ladder.dot,915,8137d0cb8c7ead4e10c04ba709298fa13c72f770ec0de366aff4c398cac4ecdb,current_synthesis,当前压缩统一论文、源稿、图与账本,text/vnd.graphviz
full_archive/current_synthesis/unified_paper_figures/fig7_evidence_ladder.png,99079,cf1112d4444d1b10115fb166bcd56c719d32491a177afe74353884d49a3fc7a3,current_synthesis,当前压缩统一论文、源稿、图与账本,image/png
full_archive/current_synthesis/unified_paper_figures/fig7_evidence_ladder.svg,4612,976087565c28a81198ada427c0ee03883dd476b098a521d360b37a05acbc0546,current_synthesis,当前压缩统一论文、源稿、图与账本,image/svg+xml
full_archive/current_synthesis/unified_paper_output/Towow_A2A_Unified_Paper.docx,1299122,ca7a4e5a7f1d6e59d5b4206c7ff9a8c9a5b21f3205f93ade532fa954b3e17edb,current_synthesis,当前压缩统一论文、源稿、图与账本,application/vnd.openxmlformats-officedocument.wordprocessingml.document
full_archive/current_synthesis/unified_paper_output/Towow_A2A_Unified_Paper.pdf,1724843,48880b515f120adbf45284fb0d40a98a9748e737003da3f7276aaad371fd3287,current_synthesis,当前压缩统一论文、源稿、图与账本,application/pdf
full_archive/current_synthesis/unified_paper_output/Towow_A2A_Unified_Paper_raw.docx,1294940,734396d74e15e5719e2dbb7abf632d6b0f2744f668d64cd383f974daae5cc556,current_synthesis,当前压缩统一论文、源稿、图与账本,application/vnd.openxmlformats-officedocument.wordprocessingml.document
full_archive/current_synthesis/unified_paper_output/通爻_A2A_统一论文_从主权世界到共同现实.docx,1299122,ca7a4e5a7f1d6e59d5b4206c7ff9a8c9a5b21f3205f93ade532fa954b3e17edb,current_synthesis,当前压缩统一论文、源稿、图与账本,application/vnd.openxmlformats-officedocument.wordprocessingml.document
full_archive/current_synthesis/unified_paper_output/通爻_A2A_统一论文_从主权世界到共同现实.pdf,1724843,48880b515f120adbf45284fb0d40a98a9748e737003da3f7276aaad371fd3287,current_synthesis,当前压缩统一论文、源稿、图与账本,application/pdf
full_archive/current_synthesis/unified_paper_source/claim_evidence_register.csv,4902,046bbdf4587bacc1ba92e37765c1b81568a3fe30e818e36fda0f6bd760c716b9,current_synthesis,当前压缩统一论文、源稿、图与账本,text/csv
full_archive/current_synthesis/unified_paper_source/concept_decision_ledger.csv,5955,196bbb51399a709f8368efb7e96fd417f8844a15cca810bfc8b3e6b8d8764557,current_synthesis,当前压缩统一论文、源稿、图与账本,text/csv
full_archive/current_synthesis/unified_paper_source/header.tex,1844,71ccadb67e4f04124d3c9e80a0f4c9a198f4e47bf97bfb0ca991c684cc8e00a3,current_synthesis,当前压缩统一论文、源稿、图与账本,text/x-tex
full_archive/current_synthesis/unified_paper_source/main.md,55720,dd21711e325de293fa5197e97e8c9dd40b1d6167fb766e6f03d58823874cf3bd,current_synthesis,当前压缩统一论文、源稿、图与账本,text/markdown
full_archive/current_synthesis/unified_paper_source/main_docx.md,58615,b107af3120786edbe4b3691ef42d60a65808235e84ec83eda44bce9e5ffabdf9,current_synthesis,当前压缩统一论文、源稿、图与账本,text/markdown
full_archive/current_synthesis/unified_paper_source/metadata.yaml,330,43945ae68644dd5d5ad2efcdc43455972ddab7fdcaf7afec3ef216694a5ee9c7,current_synthesis,当前压缩统一论文、源稿、图与账本,application/yaml
full_archive/current_synthesis/unified_paper_source/references.bib,10382,7c16d11688e54c85b13d8562b8f47c96b5e0dcd9522f4c22363cb4955d691b5a,current_synthesis,当前压缩统一论文、源稿、图与账本,text/x-bibtex
full_archive/current_synthesis/unified_paper_source/style_docx.py,8913,1781a0f257e8899aa90bb072bac790922963add845271e42ab39d6713977c8de,current_synthesis,当前压缩统一论文、源稿、图与账本,text/x-python
full_archive/current_synthesis/unified_source_package/QA_REPORT.md,1058,c2b89f15399bfb080c5d2981547bad08db24fddc60bdd40161385c919cbde1d7,current_synthesis,原始研究或支持材料,text/markdown
full_archive/current_synthesis/unified_source_package/README.md,1146,e2f067f78c3cfb264d1e0477ba174c48e887ef70cbb4ae02641d4c0a88baeaea,current_synthesis,原始研究或支持材料,text/markdown
full_archive/current_synthesis/unified_source_package/claim_evidence_register.csv,4902,046bbdf4587bacc1ba92e37765c1b81568a3fe30e818e36fda0f6bd760c716b9,current_synthesis,原始研究或支持材料,text/csv
full_archive/current_synthesis/unified_source_package/concept_decision_ledger.csv,5955,196bbb51399a709f8368efb7e96fd417f8844a15cca810bfc8b3e6b8d8764557,current_synthesis,原始研究或支持材料,text/csv
full_archive/current_synthesis/unified_source_package/figures/fig1_problem_stack.png,211092,5c4e3978b1c71e947ac70c40df82cba0a713daf5e7a28b7cec4dce7ba345f381,current_synthesis,原始研究或支持材料,image/png
full_archive/current_synthesis/unified_source_package/figures/fig2_planes.png,273528,d8a1bca3d862043acb13f075268df5dbab45cdc19fe5ca16b26d0c43d3ac2d5b,current_synthesis,原始研究或支持材料,image/png
full_archive/current_synthesis/unified_source_package/figures/fig3_formation_loop.png,162754,d78143d35156b1e07ee72da396de20ad31e841777e09deaacbd532d6fbf83049,current_synthesis,原始研究或支持材料,image/png
full_archive/current_synthesis/unified_source_package/figures/fig4_collapse_boundary.png,217448,fe9cab2758de1f712baf76aeeeb8ce3ba6d0c5af95badbf12a0b0417f9dd5841,current_synthesis,原始研究或支持材料,image/png
full_archive/current_synthesis/unified_source_package/figures/fig5_two_regime.png,134202,35b63769e84474bc0fb7b924a0960c178c642bbdd908757d40d209bf1cbdb865,current_synthesis,原始研究或支持材料,image/png
full_archive/current_synthesis/unified_source_package/figures/fig6_protocol_stack.png,223285,25673f82d2833ab179acd2cbfd66b1554f8f8cdbb65d4669c6b7361c33403d01,current_synthesis,原始研究或支持材料,image/png
