instance,method,seed_per_agent,feasible,objective_ratio,proposed_objective_ratio,max_violation,disclosed_constraints,rounds
177,static_1,1,False,,2.1964364224846746,0.7942680790751999,5,1
177,adaptive_1,1,True,1.0000000000000002,1.0000000000000002,3.3306690738754696e-16,21,5
177,static_2,2,False,,1.4224380805009817,0.3957490900306846,10,1
177,adaptive_2,2,True,1.0,1.0,1.1102230246251565e-16,27,5
177,static_4,4,False,,1.1832643131138263,0.13641256023696507,20,1
177,adaptive_4,4,True,1.0,1.0,1.3877787807814457e-15,28,3
177,static_8,8,False,,1.1451920710281158,0.15476715351198522,40,1
177,adaptive_8,8,True,1.0,1.0,1.1102230246251565e-16,48,3
177,full_disclosure,18,True,1.0,1.0,4.440892098500626e-16,90,1
178,static_1,1,False,,1.7526598761485603,0.8007146847102733,5,1
178,adaptive_1,1,True,0.9999999999999998,0.9999999999999998,2.7755575615628914e-16,23,6
178,static_2,2,False,,1.497505828990602,0.5140626380399235,10,1
178,adaptive_2,2,True,0.9999999999999998,0.9999999999999998,4.440892098500626e-16,23,4
178,static_4,4,False,,1.4143992952583209,0.5014074228712373,20,1
178,adaptive_4,4,True,1.0,1.0,9.43689570931383e-16,31,4
178,static_8,8,False,,1.036002222481734,0.1398223675027988,40,1
178,adaptive_8,8,True,0.9999999999999994,0.9999999999999994,1.27675647831893e-15,46,3
178,full_disclosure,18,True,1.0,1.0,8.881784197001252e-16,90,1
179,static_1,1,False,,1.29071487397252,0.29505496365673345,5,1
179,adaptive_1,1,True,0.9999999999999997,0.9999999999999997,1.1102230246251565e-16,19,5
179,static_2,2,False,,1.3669286056436745,0.3766642893803829,10,1
179,adaptive_2,2,True,0.9999999999999994,0.9999999999999994,0.0,20,4
179,static_4,4,False,,1.107379467847623,0.2742818563926456,20,1
179,adaptive_4,4,True,0.9999999999999996,0.9999999999999996,0.0,28,3
179,static_8,8,False,,1.0506552386924353,0.19953649038046262,40,1
179,adaptive_8,8,True,0.9999999999999999,0.9999999999999999,1.1102230246251565e-16,44,3
179,full_disclosure,18,True,1.0,1.0,6.661338147750939e-16,90,1
180,static_1,1,False,,1.636774310894175,0.6614323743631266,5,1
180,adaptive_1,1,True,1.0,1.0,2.220446049250313e-16,20,5
180,static_2,2,False,,1.2728750696515465,0.5673466128595703,10,1
180,adaptive_2,2,True,0.9999999999999999,0.9999999999999999,2.220446049250313e-16,25,6
180,static_4,4,False,,1.3601827489001432,0.4956814462339636,20,1
180,adaptive_4,4,True,0.9999999999999994,0.9999999999999994,-1.1102230246251565e-16,30,4
180,static_8,8,False,,1.0868449181764563,0.1709466442111276,40,1
180,adaptive_8,8,True,1.0,1.0,6.661338147750939e-16,43,2
180,full_disclosure,18,True,1.0,1.0,3.3306690738754696e-16,90,1
181,static_1,1,False,,1.336041514003576,0.3743691756672566,5,1
