instance,method,feasible,cost_ratio,disclosed_modes,rounds
88,random_20pct_disclosure,True,1.5629604508473083,34,1
88,price_guided_oracle,True,1.0,53,4
88,full_private_disclosure,True,1.0,77,1
89,public_profile_search,False,,24,1
89,random_20pct_disclosure,True,1.3265800584607947,36,1
89,price_guided_oracle,True,1.0,57,3
89,full_private_disclosure,True,1.0,85,1
90,public_profile_search,False,,24,1
90,random_20pct_disclosure,True,1.6552578414386803,34,1
90,price_guided_oracle,True,1.0,54,3
90,full_private_disclosure,True,1.0,77,1
91,public_profile_search,False,,24,1
91,random_20pct_disclosure,True,2.2286178945481194,34,1
91,price_guided_oracle,True,0.9999999999999997,51,4
91,full_private_disclosure,True,1.0,76,1
92,public_profile_search,False,,24,1
92,random_20pct_disclosure,True,1.875594254264215,34,1
92,price_guided_oracle,True,1.0,52,4
92,full_private_disclosure,True,1.0,78,1
93,public_profile_search,False,,24,1
93,random_20pct_disclosure,True,2.499854513880399,34,1
93,price_guided_oracle,True,1.0000000000000002,52,4
93,full_private_disclosure,True,1.0,78,1
94,public_profile_search,False,,24,1
94,random_20pct_disclosure,True,2.3065889142135303,34,1
94,price_guided_oracle,True,1.0,55,4
94,full_private_disclosure,True,1.0,76,1
95,public_profile_search,False,,24,1
95,random_20pct_disclosure,True,1.3828513862218863,35,1
95,price_guided_oracle,True,1.0060570661804398,52,3
95,full_private_disclosure,True,1.0,83,1
96,public_profile_search,False,,24,1
96,random_20pct_disclosure,True,1.8629571756537795,34,1
96,price_guided_oracle,True,1.0,55,3
96,full_private_disclosure,True,1.0,78,1
97,public_profile_search,False,,24,1
97,random_20pct_disclosure,True,1.6852042341442066,35,1
97,price_guided_oracle,True,1.0,56,3
97,full_private_disclosure,True,1.0,80,1
98,public_profile_search,False,,24,1
98,random_20pct_disclosure,True,1.7254939994155107,33,1
98,price_guided_oracle,True,0.9999999999999997,46,3
98,full_private_disclosure,True,1.0,73,1
99,public_profile_search,False,,24,1
99,random_20pct_disclosure,False,,33,1
99,price_guided_oracle,True,1.0,55,3
99,full_private_disclosure,True,1.0,69,1
100,public_profile_search,False,,24,1
100,random_20pct_disclosure,False,,33,1
100,price_guided_oracle,True,1.0,51,3
100,full_private_disclosure,True,1.0,73,1
101,public_profile_search,False,,24,1
101,random_20pct_disclosure,True,1.288683875682106,36,1
101,price_guided_oracle,True,1.0394400649441358,52,4
101,full_private_disclosure,True,1.0,85,1
102,public_profile_search,False,,24,1
102,random_20pct_disclosure,True,1.3454740763193034,33,1
102,price_guided_oracle,True,1.0,52,3
102,full_private_disclosure,True,1.0,73,1
103,public_profile_search,False,,24,1
103,random_20pct_disclosure,True,1.8914953392093086,34,1
103,price_guided_oracle,True,1.0,54,3
103,full_private_disclosure,True,1.0,75,1
104,public_profile_search,False,,24,1
104,random_20pct_disclosure,True,1.4132073795006967,35,1
104,price_guided_oracle,True,0.999999999999999,53,4
104,full_private_disclosure,True,1.0,79,1
105,public_profile_search,False,,24,1
105,random_20pct_disclosure,True,1.87876816694481,35,1
105,price_guided_oracle,True,1.0,53,4
105,full_private_disclosure,True,1.0,83,1
106,public_profile_search,False,,24,1
106,random_20pct_disclosure,True,2.7220592597064583,33,1
106,price_guided_oracle,True,1.0,47,3
106,full_private_disclosure,True,1.0,71,1
107,public_profile_search,False,,24,1
107,random_20pct_disclosure,True,1.3396411553496448,33,1
107,price_guided_oracle,True,1.0,54,4
107,full_private_disclosure,True,1.0,72,1
108,public_profile_search,False,,24,1
108,random_20pct_disclosure,True,1.5642949007120857,35,1
108,price_guided_oracle,True,1.0,57,4
108,full_private_disclosure,True,1.0,81,1
109,public_profile_search,False,,24,1
109,random_20pct_disclosure,True,2.0532468900859318,33,1
109,price_guided_oracle,True,1.0,50,3
109,full_private_disclosure,True,1.0,70,1
110,public_profile_search,False,,24,1
110,random_20pct_disclosure,False,,32,1
110,price_guided_oracle,True,1.0,53,4
110,full_private_disclosure,True,1.0,68,1
111,public_profile_search,False,,24,1
111,random_20pct_disclosure,True,2.6664986815918175,34,1
111,price_guided_oracle,True,1.0,52,3
111,full_private_disclosure,True,1.0,77,1
112,public_profile_search,False,,24,1
112,random_20pct_disclosure,True,1.7244965119942677,34,1
112,price_guided_oracle,True,1.0,51,3
112,full_private_disclosure,True,1.0,74,1
113,public_profile_search,False,,24,1
113,random_20pct_disclosure,False,,34,1
113,price_guided_oracle,True,1.0,47,2
113,full_private_disclosure,True,1.0,76,1
114,public_profile_search,False,,24,1
114,random_20pct_disclosure,True,2.233350107934823,34,1
114,price_guided_oracle,True,1.0,56,4
114,full_private_disclosure,True,1.0,75,1
115,public_profile_search,False,,24,1
115,random_20pct_disclosure,True,1.1839951937100008,33,1
115,price_guided_oracle,True,1.0,52,5
115,full_private_disclosure,True,1.0,73,1
116,public_profile_search,False,,24,1
116,random_20pct_disclosure,True,1.8379899860626658,34,1
116,price_guided_oracle,True,1.0,51,4
116,full_private_disclosure,True,1.0,77,1
117,public_profile_search,False,,24,1
117,random_20pct_disclosure,True,1.9952337820714061,35,1
117,price_guided_oracle,True,1.0,54,4
117,full_private_disclosure,True,1.0,81,1
118,public_profile_search,False,,24,1
118,random_20pct_disclosure,True,2.0039693792031703,33,1
118,price_guided_oracle,True,1.0,52,4
118,full_private_disclosure,True,1.0,71,1
119,public_profile_search,False,,24,1
119,random_20pct_disclosure,True,2.7413855121146438,33,1
119,price_guided_oracle,True,0.9999999999999999,52,3
119,full_private_disclosure,True,1.0,72,1
120,public_profile_search,False,,24,1
120,random_20pct_disclosure,True,3.751630890648644,34,1
120,price_guided_oracle,True,1.0,53,4
120,full_private_disclosure,True,1.0,78,1
121,public_profile_search,False,,24,1
121,random_20pct_disclosure,True,1.6311088278722572,33,1
121,price_guided_oracle,True,1.0000000000000009,49,3
121,full_private_disclosure,True,1.0,72,1
122,public_profile_search,False,,24,1
122,random_20pct_disclosure,False,,33,1
122,price_guided_oracle,True,1.0,55,5
122,full_private_disclosure,True,1.0,70,1
123,public_profile_search,False,,24,1
123,random_20pct_disclosure,True,1.9945320295538467,35,1
123,price_guided_oracle,True,1.0000000000000002,56,4
123,full_private_disclosure,True,1.0,80,1
124,public_profile_search,False,,24,1
124,random_20pct_disclosure,True,1.7020082203068645,33,1
124,price_guided_oracle,True,1.0,51,5
124,full_private_disclosure,True,1.0,71,1
125,public_profile_search,False,,24,1
125,random_20pct_disclosure,True,1.258796341172494,34,1
125,price_guided_oracle,True,1.0,52,5
125,full_private_disclosure,True,1.0,76,1
126,public_profile_search,False,,24,1
126,random_20pct_disclosure,True,2.268084608091932,32,1
126,price_guided_oracle,True,1.0000000000000002,53,5
126,full_private_disclosure,True,1.0,68,1
127,public_profile_search,False,,24,1
127,random_20pct_disclosure,True,1.8066736527053584,34,1
127,price_guided_oracle,True,1.0,55,4
127,full_private_disclosure,True,1.0,77,1
128,public_profile_search,False,,24,1
128,random_20pct_disclosure,True,2.1853606054312293,34,1
128,price_guided_oracle,True,1.0,45,3
128,full_private_disclosure,True,1.0,74,1
129,public_profile_search,False,,24,1
129,random_20pct_disclosure,True,1.8667975957973835,34,1
129,price_guided_oracle,True,1.0000000000000007,53,3
129,full_private_disclosure,True,1.0,75,1
130,public_profile_search,False,,24,1
130,random_20pct_disclosure,True,1.3300928675630814,35,1
130,price_guided_oracle,True,1.0111000363661042,57,4
130,full_private_disclosure,True,1.0,83,1
131,public_profile_search,False,,24,1
131,random_20pct_disclosure,False,,34,1
131,price_guided_oracle,True,1.0000000000000009,56,4
131,full_private_disclosure,True,1.0,78,1
132,public_profile_search,True,3.138120642939719,24,1
132,random_20pct_disclosure,True,1.4313515972036959,35,1
132,price_guided_oracle,True,1.0,51,4
132,full_private_disclosure,True,1.0,80,1
133,public_profile_search,False,,24,1
133,random_20pct_disclosure,True,1.4659957504287324,34,1
133,price_guided_oracle,True,1.0000000000000002,60,3
133,full_private_disclosure,True,1.0,74,1
134,public_profile_search,False,,24,1
134,random_20pct_disclosure,True,2.0647376227685337,34,1
134,price_guided_oracle,True,1.0,54,4
134,full_private_disclosure,True,1.0,76,1
135,public_profile_search,False,,24,1
135,random_20pct_disclosure,False,,34,1
135,price_guided_oracle,True,1.0000000000000002,56,4
135,full_private_disclosure,True,1.0,74,1
136,public_profile_search,False,,24,1
136,random_20pct_disclosure,True,1.4197860112784835,33,1
136,price_guided_oracle,True,1.0,51,4
136,full_private_disclosure,True,1.0,72,1
137,public_profile_search,False,,24,1
137,random_20pct_disclosure,True,1.8410139855085357,33,1
137,price_guided_oracle,True,1.0,51,4
137,full_private_disclosure,True,1.0,70,1
138,public_profile_search,False,,24,1
138,random_20pct_disclosure,True,1.4171971208853547,34,1
138,price_guided_oracle,True,1.0028965890755213,54,3
138,full_private_disclosure,True,1.0,75,1
139,public_profile_search,False,,24,1
139,random_20pct_disclosure,True,2.106736070392337,34,1
139,price_guided_oracle,True,1.0,50,3
139,full_private_disclosure,True,1.0,75,1
140,public_profile_search,False,,24,1
140,random_20pct_disclosure,True,1.3916772902303916,35,1
140,price_guided_oracle,True,1.0,54,4
140,full_private_disclosure,True,1.0,80,1
141,public_profile_search,False,,24,1
141,random_20pct_disclosure,True,1.7748119238284936,33,1
141,price_guided_oracle,True,1.0,55,3
141,full_private_disclosure,True,1.0,72,1
142,public_profile_search,False,,24,1
142,random_20pct_disclosure,True,1.6351229980763866,34,1
142,price_guided_oracle,True,0.9999999999999998,56,4
142,full_private_disclosure,True,1.0,77,1
143,public_profile_search,False,,24,1
143,random_20pct_disclosure,True,1.1137956337116595,34,1
143,price_guided_oracle,True,1.0,52,3
143,full_private_disclosure,True,1.0,74,1
144,public_profile_search,False,,24,1
144,random_20pct_disclosure,True,1.4036005282039135,33,1
144,price_guided_oracle,True,1.0,50,4
144,full_private_disclosure,True,1.0,72,1
145,public_profile_search,False,,24,1
145,random_20pct_disclosure,True,1.31523935340142,34,1
145,price_guided_oracle,True,1.0000000000000002,57,4
145,full_private_disclosure,True,1.0,78,1
146,public_profile_search,False,,24,1
146,random_20pct_disclosure,True,1.6509594956281004,34,1
146,price_guided_oracle,True,1.0,58,4
146,full_private_disclosure,True,1.0,78,1
147,public_profile_search,False,,24,1
147,random_20pct_disclosure,True,1.6215441745498613,35,1
147,price_guided_oracle,True,1.0000000000000002,53,4
147,full_private_disclosure,True,1.0,82,1
148,public_profile_search,False,,24,1
148,random_20pct_disclosure,True,2.1115463626091158,34,1
148,price_guided_oracle,True,1.0,53,3
148,full_private_disclosure,True,1.0,77,1
149,public_profile_search,False,,24,1
149,random_20pct_disclosure,True,1.4246429932119504,35,1
149,price_guided_oracle,True,1.0,54,3
149,full_private_disclosure,True,1.0,81,1
150,public_profile_search,False,,24,1
150,random_20pct_disclosure,True,1.7631878022045715,33,1
150,price_guided_oracle,True,1.0,47,3
150,full_private_disclosure,True,1.0,73,1
151,public_profile_search,False,,24,1
151,random_20pct_disclosure,True,1.7232625090812408,35,1
151,price_guided_oracle,True,0.999999999999996,54,3
151,full_private_disclosure,True,1.0,81,1
152,public_profile_search,False,,24,1
152,random_20pct_disclosure,True,1.5623157667425065,35,1
152,price_guided_oracle,True,1.0,57,4
152,full_private_disclosure,True,1.0,80,1
153,public_profile_search,False,,24,1
153,random_20pct_disclosure,True,1.2633404286957703,34,1
153,price_guided_oracle,True,1.0,59,5
153,full_private_disclosure,True,1.0,75,1
154,public_profile_search,False,,24,1
154,random_20pct_disclosure,False,,33,1
154,price_guided_oracle,True,0.9999999999999999,54,4
154,full_private_disclosure,True,1.0,73,1
155,public_profile_search,False,,24,1
155,random_20pct_disclosure,False,,34,1
155,price_guided_oracle,True,1.0,54,4
155,full_private_disclosure,True,1.0,76,1
156,public_profile_search,False,,24,1
156,random_20pct_disclosure,True,1.8668504252855695,34,1
156,price_guided_oracle,True,1.0000000000000002,52,4
156,full_private_disclosure,True,1.0,76,1
157,public_profile_search,False,,24,1
157,random_20pct_disclosure,True,1.9657070827362277,33,1
157,price_guided_oracle,True,1.0,52,3
157,full_private_disclosure,True,1.0,70,1
158,public_profile_search,False,,24,1
158,random_20pct_disclosure,True,2.2823323891842353,33,1
158,price_guided_oracle,True,1.0,55,4
158,full_private_disclosure,True,1.0,71,1
159,public_profile_search,False,,24,1
159,random_20pct_disclosure,True,1.436783999434697,34,1
159,price_guided_oracle,True,1.0,56,5
159,full_private_disclosure,True,1.0,75,1
160,public_profile_search,False,,24,1
160,random_20pct_disclosure,True,1.907225372129425,35,1
